Y_true,Y_pred
13,11.694144
2,10.349867
9,10.7558155
13,9.380288
14,10.946825
3,9.977387
8,11.025052
9,8.840021
18,7.68476
4,13.003831
8,10.96156
0,7.1293035
7,10.859722
11,11.793122
12,10.804859
4,11.403834
3,11.760614
18,10.748036
12,9.673266
6,10.779778
6,10.507607
13,10.810088
32,14.908561
13,10.902555
10,9.136146
19,11.793122
11,11.02476
11,10.51037
12,10.716271
4,9.37764
15,10.773074
7,11.559383
19,9.516364
13,10.966518
21,11.025052
8,10.138329
17,11.176215
7,10.910509
15,11.837146
2,10.486184
12,10.475251
5,9.252423
7,11.745354
5,10.526606
13,11.80989
14,11.086812
7,10.475251
6,10.7697935
7,10.748036
10,12.822517
11,9.730851
14,10.509588
22,11.6710005
8,10.790374
14,11.250051
8,13.40037
14,10.96156
14,10.569367
17,13.8653755
12,9.869389
22,11.816811
14,11.321394
6,9.870694
6,11.001709
16,11.4126215
5,7.7052975
16,10.140824
22,10.22088
17,11.076964
8,10.39227
4,11.4126215
16,11.749681
25,11.125167
2,11.108072
9,12.2781515
3,8.682602
10,10.687966
3,11.731362
18,9.34711
0,10.023076
11,9.9635
6,11.793122
13,10.717747
7,11.749681
13,13.8653755
9,10.764055
18,11.79693
4,10.942396
16,8.740603
0,8.986128
18,10.748036
5,9.85949
17,14.217027
4,12.39592
12,11.387815
5,11.793122
7,13.983289
12,11.694144
6,7.54614
16,14.870644
2,9.231012
8,11.654964
9,8.7692995
14,7.6090803
15,12.92711
2,10.140824
72,11.061155
15,11.793122
3,11.79693
12,11.34851
26,11.462451
7,10.386829
4,10.476027
32,11.793122
8,10.846371
11,10.96156
19,11.697952
26,10.793616
13,11.801849
4,10.138329
21,10.549341
13,10.748036
14,11.731362
10,11.161483
8,10.910509
24,8.983501
12,8.554093
7,10.965368
7,9.972564
8,11.083575
8,10.280474
5,10.341742
30,10.51037
22,10.766029
13,8.590725
16,11.793122
5,9.721191
20,10.77758
10,8.554093
6,10.786592
17,11.6710005
20,10.994435
15,15.35635
10,8.7732525
1,9.180445
20,9.636814
16,10.219227
4,10.01364
13,11.161483
7,12.808445
7,9.444844
11,9.4409685
4,10.349867
3,10.766647
12,11.086812
7,10.099838
44,14.956184
4,10.804859
6,10.910509
5,10.910509
5,9.213285
3,10.782748
25,12.146203
2,9.552491
5,10.910509
20,14.798344
18,12.553595
17,10.958236
18,11.601893
18,11.423554
3,9.796637
5,9.37764
15,11.681933
8,14.956184
15,11.749681
16,10.779778
9,9.292798
8,11.78552
4,5.0230746
5,11.651156
0,9.338719
9,11.076964
11,10.116098
3,11.793122
17,11.843472
13,10.748036
7,11.023804
15,11.749681
7,11.651156
12,9.61849
18,8.357782
4,9.054717
7,11.125167
1,11.760614
8,11.700654
24,11.461139
7,10.804859
10,7.98003
22,10.569367
22,11.61895
7,10.773074
6,11.228484
7,9.138148
17,11.793122
24,11.749681
21,11.843472
12,11.749681
6,7.7015367
11,11.79693
6,10.779778
14,12.822517
6,10.305041
8,11.752705
7,11.731362
10,10.551837
15,14.838136
2,11.669258
8,11.61895
16,9.019634
7,11.61895
16,11.793122
9,11.4126215
3,10.66273
7,10.748036
8,9.9635
5,10.140824
24,8.771353
2,10.386745
2,10.280474
20,10.243281
12,9.638598
4,9.383419
42,9.345186
7,10.140824
10,10.910509
9,10.280474
8,9.436837
7,11.450808
2,9.949123
14,10.170862
3,10.9628725
8,11.72221
17,10.293965
18,9.9635
21,11.419625
1,8.184641
20,11.4126215
8,11.2188635
24,10.748036
4,11.749681
1,10.342822
9,11.2188635
14,11.558286
5,11.843472
6,10.159116
24,10.910509
13,11.80989
6,11.731362
12,10.258804
6,11.333703
7,10.810088
13,9.9635
8,10.533784
14,9.897306
7,11.015204
21,14.942015
4,8.764633
5,11.548732
8,9.249154
6,13.058546
2,10.549341
27,10.913312
44,10.966518
4,7.051141
7,12.196284
8,10.066278
7,12.611659
15,11.424531
10,10.149653
3,10.991387
18,11.793122
4,8.386665
0,11.749681
4,11.424531
12,9.42152
41,8.552088
25,13.760728
13,10.59053
5,11.424531
5,10.95194
14,14.898542
23,11.61895
8,10.486184
36,11.629883
12,9.750592
6,11.082641
13,14.959992
6,11.760614
8,9.4002905
5,12.038788
14,11.687922
17,8.820819
3,8.462269
6,10.910509
18,11.228484
4,11.760614
11,10.015447
3,10.419168
7,12.620521
11,11.654136
17,10.743099
26,9.259125
11,13.676852
33,14.747134
